"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QJZA36C6","journalArticle","2022","Salaka, Raghava Jagadeesh; Nair, Kala P.; Sasibhushana, Reddy Bedadala; Udayakumar, Deepashree; Kutty, Bindu M.; Srikumar, Bettadapura N.; Shankaranarayana Rao, Byrathnahalli S.","Differential effects of levetiracetam on hippocampal CA1 synaptic plasticity and molecular changes in the dentate gyrus in epileptic rats","Neurochemistry International","","01970186","10.1016/j.neuint.2022.105378","https://linkinghub.elsevier.com/retrieve/pii/S0197018622001036","","2022-09","2025-05-08 06:12:07","2025-05-14 08:57:37","2025-05-08 06:12:07","105378","","","158","","Neurochemistry International","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\DL5T7MJV\Salaka et al. - 2022 - Neurochemistry International - Differential effects of levetiracetam on hippocampal CA1 synaptic plasticity and molecular changes i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGA7ZMFY","journalArticle","2022","Nair, Kala P.; Salaka, Raghava Jagadeesh; Srikumar, Bettadapura N.; Kutty, Bindu M.; Shankaranarayana Rao, Byrathnahalli S.","Enriched Environment Rescues Impaired Sleep–Wake Architecture and Abnormal Neural Dynamics in Chronic Epileptic Rats","Neuroscience","","03064522","10.1016/j.neuroscience.2022.05.024","https://linkinghub.elsevier.com/retrieve/pii/S0306452222002640","","2022-07","2025-05-08 06:12:16","2025-05-14 08:57:44","2025-05-08 06:12:16","97-114","","","495","","Neuroscience","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\KZEM5TTW\Nair et al. - 2022 - Neuroscience - Enriched Environment Rescues Impaired Sleep–Wake Architecture and Abnormal Neural Dynamics in Chroni.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BY9R5W8V","journalArticle","2021","Kutty, Bindu M.","Drug addiction - How it hijacks our cognition & consciousness","Indian Journal of Medical Research","","0971-5916, 0975-9174","10.4103/ijmr.ijmr_2939_21","https://journals.lww.com/10.4103/ijmr.ijmr_2939_21","","2021-10","2025-05-08 06:12:33","2025-05-08 06:12:33","2025-05-08 06:12:33","551-552","","4","154","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\ZWUSIAIJ\Kutty - 2021 - Indian Journal of Medical Research - Drug addiction - How it hijacks our cognition & consciousness.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZIYBE65","journalArticle","2021","Radhakrishnan, Arathi; Govindaraj, Ramajayam; Sasidharan, Arun; Ravindra, P.N.; Yadav, Ravi; Kutty, Bindu M.","People with dyssomnia showed increased vulnerability to CoVID-19 pandemic: a questionnaire-based study exploring the patterns and predictors of sleep quality using the latent class analysis technique in Indian population","Sleep Medicine","","13899457","10.1016/j.sleep.2020.12.041","https://linkinghub.elsevier.com/retrieve/pii/S1389945720305918","Introduction: CoVID-19 pandemic and the subsequent lockdown have impacted the sleep quality and the overall wellbeing of mankind. The present epidemiological study measured various aspects of sleep disturbance such as sleep quality, daytime impairments, negative emotionality, sleep hygiene, and wellbeing associated with CoVID-19 pandemic among the Indian population. Methods: This cross-sectional voluntary online survey (using Google form) was communicated across the country from 4th June to 3rd July 2020 through mail and social media applications. The responses received (N ¼ 450) were categorized and validated using the latent class analysis and logistic regression tests respectively, and the classes and subclasses derived were proﬁled. These techniques are used for the ﬁrst time in a CoVID-19 sleep study. Results: Out of the three classes derived from the LCA, people with severe dyssomnia belonging to class 1 (33.3%) showed high daytime impairments, negative emotionality and high vulnerability towards CoVID19 pandemic measures. In addition, the two subclasses derived from the severe dyssomnia group; one with negative emotionality predominance and the other with excessive daytime sleepiness, were similarly affected by CoVID-19 measures. People with moderate dyssomnia (class 2, 28.5%) showed frequent arousals with daytime impairments and the majority (38.2%) which fell in to class 3, the ‘no dyssomnia’ category, were not impacted by CoVID-19 pandemic. Conclusion: People with existing sleep problems or those who were vulnerable to the same were the ones affected by CoVID-19 pandemic. Those with inadequate emotional coping styles have showed heightened vulnerability. Proper medical and cognitive interventions are highly recommended for this population. No or moderate dyssomnia categories (class 3 and 2 respectively) were less impacted by CoVID-19.","2021-03","2025-05-08 06:12:36","2025-05-08 06:12:36","2025-05-08 06:12:36","29-39","","","79","","Sleep Medicine","People with dyssomnia showed increased vulnerability to CoVID-19 pandemic","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\X679TPGD\Radhakrishnan et al. - 2021 - Sleep Medicine - People with dyssomnia showed increased vulnerability to CoVID-19 pandemic a questionnaire-based stu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHNYC3ID","journalArticle","2020","Sankar Sylapan, Bhuvnesh; Nair, Ajay Kumar; Jayanna, Krishnamurthy; Mallipeddi, Saketh; Sathyanarayana, Sunil; Kutty, Bindu M.","Meditation, well-being and cognition in heartfulness meditators – A pilot study","Consciousness and Cognition","","10538100","10.1016/j.concog.2020.103032","https://linkinghub.elsevier.com/retrieve/pii/S1053810020301719","Meditative practices can vary considerably in technique as well as their effects. Heartfulness is a popular meditation technique that includes in its repertoire, a unique passive form of meditation. We carried out a pilot study recruiting male heartfulness meditators (proficient n = 24, with 6–28 years of meditation experience; novice n = 24, 5 to 16 months of experience) and subsequently recruited matched controls (n = 15). We examined well-being, and carried out high-density EEG recordings to examine indices of meditation and cognition in these groups. Well-being scores were significantly higher for the proficient meditators as compared to novice and intermediate for the controls. We did not find any group differences in cognitive processing. During meditation, enhanced occipital gamma was found in proficient meditators as compared to controls. We discuss the findings from this pilot study and suggest avenues for future research.","2020-11","2025-05-08 06:12:38","2025-05-08 06:12:38","2025-05-08 06:12:38","103032","","","86","","Consciousness and Cognition","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\H6VZ3UYU\Sankar Sylapan et al. - 2020 - Consciousness and Cognition - Meditation, well-being and cognition in heartfulness meditators – A pilot study.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Z6I57DB","journalArticle","2020","Talukdar, Pinku Mani; Abdul, Fazal; Maes, Michael; Binu, Vs; Venkatasubramanian, Ganesan; Kutty, Bindu M.; Debnath, Monojit","Maternal Immune Activation Causes Schizophrenia-like Behaviors in the Offspring through Activation of Immune-Inflammatory, Oxidative and Apoptotic Pathways, and Lowered Antioxidant Defenses and Neuroprotection","Molecular Neurobiology","","0893-7648, 1559-1182","10.1007/s12035-020-02028-8","https://link.springer.com/10.1007/s12035-020-02028-8","Schizophrenia is a complex neuropsychiatric disorder, influenced by a combined action of genes and environmental factors. The neurodevelopmental origin is one of the most widely recognized etiological models of this heterogeneous disorder. Environmental factors, especially infections during gestation, appear to be a major risk determinant of neurodevelopmental basis of schizophrenia. Prenatal infection may cause maternal immune activation (MIA) and enhance risk of schizophrenia in the offspring. However, the precise mechanistic basis through which MIA causes long-lasting schizophrenia-like behavioral deficits in offspring remains inadequately understood. Herein, we aimed to delineate whether prenatal infection-induced MIA causes schizophrenia-like behaviors through its long-lasting effects on immune-inflammatory and apoptotic pathways, oxidative stress toxicity, and antioxidant defenses in the brain of offspring. Sprague-Dawley rats were divided into three groups (n = 15/group) and were injected with poly (I:C), LPS, and saline at gestational day (GD)-12. Except IL-1β, plasma levels of IL-6, TNF-α, and IL-17A assessed after 24 h were significantly elevated in both the poly (I:C)- and LPS-treated pregnant rats, indicating MIA. The rats born to dams treated with poly (I:C) and LPS displayed increased anxiety-like behaviors and significant deficits in social behaviors. Furthermore, the hippocampus of the offspring rats of both the poly (I:C)- and LPS-treated groups showed increased signs of lipid peroxidation, diminished total antioxidant content, and differentially upregulated expression of inflammatory (TNFα, IL6, and IL1β), and apoptotic (Bax, Cas3, and Cas9) genes but decreased expression of neuroprotective (BDNF and Bcl2) genes. The results suggest long-standing effects of prenatal infections on schizophrenia-like behavioral deficits, which are mediated by immune-inflammatory and apoptotic pathways, increased oxidative stress toxicity, and lowered antioxidant and neuroprotective defenses. The findings suggest that prenatal infections may underpin neurodevelopmental aberrations and neuroprogression and subsequently schizophrenia-like symptoms.","2020-10","2025-05-08 06:12:41","2025-05-08 06:12:41","2025-05-08 06:12:41","4345-4361","","10","57","","Mol Neurobiol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\W8KBARHP\Talukdar et al. - 2020 - Molecular Neurobiology - Maternal Immune Activation Causes Schizophrenia-like Behaviors in the Offspring through Activation o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6IM9JSX","journalArticle","2020","Subhadeep, Duttagupta; Srikumar, Bettadapura N.; Shankaranarayana Rao, Byrathnahalli S.; Kutty, Bindu M.","Short photoperiod restores ventral subicular lesion induced deficits in affective and socio cognitive behavior in male Wistar rats","Journal of Neuroscience Research","","0360-4012, 1097-4547","10.1002/jnr.24601","https://onlinelibrary.wiley.com/doi/10.1002/jnr.24601","Photoperiod (day-length) has enduring effects on an organism's physiological functions like metabolism and behavioral phenotypes including cognition and affect. Circadian rhythm manipulations are potentially effective non-pharmacological strategies in the management of central nervous system insults. In our previous study, we demonstrated the efficacy of short photoperiod regime (SPR; 06/18 hr light-dark cycle) in establishing functional recovery in ventral subicular lesion (VSL) rats. The present study further demonstrates the efficacy of SPR in mitigating anxiety and depression as well as facilitating socio-cognitive behavior in VSL rats. VSL elevated the basal plasma corticosterone levels, increased anxiety, anhedonia, and behavioral despair with decreased self-care. The VSL rats also exhibited a considerable degree of impaired social cognition, in terms of altered social preference and social novelty. Exposure to SPR for 21 days mitigated the anxiety- and depressive-like phenotypes as well as improved social cognition significantly. Thus, the study demonstrated the effectiveness of SPR strategy in reversing most of the behavioral deficits caused by VSL. SPR, perhaps, would have regulated the hypothalamo-pituitary-adrenal axis responsiveness as we observed a decrease in plasma corticosterone levels following SPR in VSL rats. The study implies the need for developing a task-dependent SPR strategy to achieve complete behavioral recovery as the functional demands of each behavior is distinct. In summary, the study highlights the efficacy of photoperiod manipulation as a novel, non-pharmacological approach in mitigating the affective and cognitive deficits associated with neuropsychiatric disorders such as bipolar disorder and Alzheimer's disease wherein circadian rhythm alterations are implicated.","2020-06","2025-05-08 06:12:43","2025-05-14 10:13:37","2025-05-08 06:12:43","1114-1136","","6","98","","J of Neuroscience Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\B6J7IJZU\Subhadeep et al. - 2020 - Journal of Neuroscience Research - Short photoperiod restores ventral subicular lesion‐induced deficits in affective and socio‐cognitiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTK7Q2LQ","journalArticle","2019","Venugopal, Rahul; Sasidharan, Arun; Marigowda, Vrinda; Kumar, Gulshan; Nair, Ajay Kumar; Sharma, Sumit; Mukundan, Chetan S.; Kutty, Bindu M.","Beyond Hypnograms: Assessing Sleep Stability Using Acoustic and Electrical Stimulation","Neuromodulation: Technology at the Neural Interface","","10947159","10.1111/ner.12847","https://linkinghub.elsevier.com/retrieve/pii/S0002822321070231","Objective: Conventional polysomnographic recordings reﬂect brain dynamics associated with sleep architecture. We hypothesized that noninvasive tools like transcranial alternating current stimulation (tACS) and acoustic stimulation (for generating event related potentials [ERPs]) would help to predict sleep stability and provide a window to actively assess brain activity during sleep. Materials and Methods: Twelve healthy male volunteers participated in the multiple whole-night polysomnography (PSG) recording protocol. Acoustic tones (100 msec duration) were presented throughout night to evaluate ERP during sleep. Furthermore, 30 sec tACS were presented during nonrapid eye movement (NREM) and rapid eye movement (REM) sleep on subsequent two nights without disturbing the subject’s sleep. For ERP analysis, event-locked artifact-free epochs from each sleep stage were averaged separately. For tACS analysis, 30 sec prestimulus and poststimulus artifact-free EEG epochs were subjected to bootstrapping-based comparison of power spectral values. Results: Acoustic stimulation generated sleep stage-dependent ERP components (N350, N550, and P900) in all participants. The tACS stimulation during NREM sleep (0.75 Hz) increased parietal delta power but decreased frontocentral theta and increased frontal gamma power when delivered during REM sleep (40Hz). These interventions provide details on sleep stability as larger N550-P900 ERP-complex correlated with lower NREM disruptions (Spearman’s rho = −0.553; p = 0.049; n = 10) and tACS-related theta power perturbation with higher REM disruptions (Spearman’s rho = 0.734; p = 0.030; n = 7). Conclusions: Noninvasive brain stimulation approaches such as sleep ERP and sleep tACS are reliable tools to evaluate sleep stability during NREM and REM sleep, respectively, but more large-sample studies are warranted.","2019-12","2025-05-08 06:12:46","2025-05-08 06:12:46","2025-05-08 06:12:46","911-915","","8","22","","Neuromodulation: Technology at the Neural Interface","Beyond Hypnograms","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\9AXF9RFV\Venugopal et al. - 2019 - Neuromodulation Technology at the Neural Interface - Beyond Hypnograms Assessing Sleep Stability Using Acoustic and Electrical Stimulation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5MFTUR2","journalArticle","2019","Kambali, Maltesh Y.; Anshu, Kumari; Kutty, Bindu M.; Muddashetty, Ravi S.; Laxmi, T. Rao","Effect of early maternal separation stress on attention, spatial learning and social interaction behaviour","Experimental Brain Research","","0014-4819, 1432-1106","10.1007/s00221-019-05567-2","http://link.springer.com/10.1007/s00221-019-05567-2","Early life stress is known to influence affective and cognitive functions in later life but comprehensive explanation for the impact of early life stress on attentional functions, behavioural control and social behaviour is inadequate. The early life stress was induced by exposing rat pups to 6 h of maternal separation and isolation (MS) stress from postnatal days 4–14 i.e. during SHRP period. The long-term impact of MS in these rats was evaluated by assessing anxiety, sociability, social preference, spatial learning and memory along with a detailed evaluation of attentional functions during young adulthood period. Adult male MS rats showed increased anxiety-like behaviour, impaired flexibility in social interactions, and increased reward-seeking behaviour. MS rats also showed faster spatial learning in the partially baited radial arm maze and exhibited moderately enhanced sustained attention in the 5-choice serial reaction time task (5CSRTT). These results suggest that early MS has both positive and negative consequences in adulthood. Increased cognitive ability in MS rats, as evidenced by the improved sustained attention and spatial learning and memory, is usually advantageous and indicates positive influences of early stressors that might lead to the development of resilience and enhanced compensatory mechanisms later in adulthood. MS stress has compromised flexibility in social behaviour that promotes solitary lifestyle and social isolation. Heightened reward-seeking behaviour, as shown by the MS rats, could be a predisposing factor for substance abuse and addiction. Thus, our study highlights the crucial and differential impact of early life challenges on behaviour during adulthood and suggests that the positive aspects could be an asset that may be utilized to suppress the negative effects of early life stress in adulthood.","2019-08","2025-05-08 06:12:49","2025-05-08 06:12:49","2025-05-08 06:12:49","1993-2010","","8","237","","Exp Brain Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\RJYYK28Z\Kambali et al. - 2019 - Experimental Brain Research - Effect of early maternal separation stress on attention, spatial learning and social interaction beh.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFCAW3M2","bookSection","2019","Kakumanu, Ratna Jyothi; Nair, Ajay Kumar; Sasidharan, Arun; John, John P.; Mehrotra, Seema; Panth, Ravindra; Kutty, Bindu M.","State-trait influences of Vipassana meditation practice on P3 EEG dynamics","Progress in Brain Research","978-0-444-64227-1","","","https://linkinghub.elsevier.com/retrieve/pii/S0079612318301663","","2019","2025-05-08 06:12:54","2025-05-08 06:12:54","2025-05-08 06:12:54","115-136","","","244","","","","","","","","Elsevier","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","DOI: 10.1016/bs.pbr.2018.10.027","","C:\Users\Admin\Zotero\storage\CTNPW7D5\Kakumanu et al. - 2019 - Progress in Brain Research - State-trait influences of Vipassana meditation practice on P3 EEG dynamics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXEI4DX2","journalArticle","2019","Mishra, Pradeep Kumar; Kutty, Bindu M.; Laxmi, T. R.","The impact of maternal separation and isolation stress during stress hyporesponsive period on fear retention and extinction recall memory from 5-week- to 1-year-old rats","Experimental Brain Research","","0014-4819, 1432-1106","10.1007/s00221-018-5411-3","http://link.springer.com/10.1007/s00221-018-5411-3","The purpose of the present study was to determine whether age would disrupt fear retention and extinction memory in rats pre-exposed to maternal separation and isolation stress; these rats are called MS rats. MS stress was induced by exposing rat pups into maternal separation followed by isolation stress from peer groups (MS) daily/6 h during stress hyporesponsive period, while controls rats that were undisturbed during this period are called NMS rats. 5, 8, 15 and 52 weeks later, these animals were exposed to classical fear conditioning test by pairing auditory stimulus (conditioned stimulus, CS+) with electric footshock. 24 h later, conditioned freezing response to CS+ was measured during fear retention, extinction and extinction recall trials. The normal ageing per se did not aﬀect the formation of fear memory, retention and fear extinction memory. MS stress, on the other hand, disrupted fear memory at young adulthood age exhibiting increased freezing response to CS+ during retention test and reduced during fear extinction memory test when compared to NMS groups. On the other hand, rats at adolescence age exhibited reduced freezing during fear retention and enhanced freezing response to CS+ during extinction recall test. However, MS-induced changes in freezing response during fear retention and extinction tests were not seen in adulthood and 1-year-old age groups. These data demonstrate the young adulthood age is highly vulnerable to fear memory and extinction processes. The diﬀerences in freezing response to CS+ during fear conditioning from adolescence to old age, thus, appear to be related to the maturation of the limbic circuit.","2019-01","2025-05-08 06:12:56","2025-05-08 06:12:57","2025-05-08 06:12:56","181-190","","1","237","","Exp Brain Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\EPXDN3BC\Mishra et al. - 2019 - Experimental Brain Research - The impact of maternal separation and isolation stress during stress hyporesponsive period on fear r.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEWNT8Q9","journalArticle","2018","Kakumanu, Ratna Jyothi; Nair, Ajay Kumar; Venugopal, Rahul; Sasidharan, Arun; Ghosh, Prasanta Kumar; John, John P.; Mehrotra, Seema; Panth, Ravindra; Kutty, Bindu M.","Dissociating meditation proficiency and experience dependent EEG changes during traditional Vipassana meditation practice","Biological Psychology","","03010511","10.1016/j.biopsycho.2018.03.004","https://linkinghub.elsevier.com/retrieve/pii/S0301051118301728","Meditation, as taught by most schools of practice, consists of a set of heterogeneous techniques. We wanted to assess if EEG proﬁles varied across diﬀerent meditation techniques, proﬁciency levels and experience of the practitioners. We examined EEG dynamics in Vipassana meditators (Novice, Senior meditators and Teachers) while they engaged in their traditional meditation practice (concentration, mindfulness and loving kindness in a structured manner) as taught by S.N. Goenka.","2018-05","2025-05-08 06:13:05","2025-05-08 06:13:06","2025-05-08 06:13:05","65-75","","","135","","Biological Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\PT29BWFN\Kakumanu et al. - 2018 - Biological Psychology - Dissociating meditation proficiency and experience dependent EEG changes during traditional Vipassan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REMUENG9","journalArticle","2018","Venugopal, Chaitra; K, Shobha; Rai, Kiranmai S.; Pinnelli, Venkata Bharatkumar; Kutty, Bindu M.; Dhanushkodi, Anandh","Neuroprotection by Human Dental Pulp Mesenchymal Stem Cells: From Billions to Nano","Current Gene Therapy","","15665232","10.2174/1566523218666180913152615","http://www.eurekaselect.com/165433/article","Objective: Thus, the present study is designed to compare the neuroprotective potential of MSC derived exosomes with MSC-condition medium or neuron–MSC-co-culture system against kainic acid induced excitotoxicity in in vitro condition. The study also aims at comparing the neuroprotective efficacy of exosomes/condition medium/co-culture of two MSC viz., neural crest derived human Dental Pulp Stem Cells (hDPSC) and human Bone-Marrow Mesenchymal Stem Cells (hBM-MSC) to identify the appropriate MSC source for treating neurodegenerative diseases. Result: Our results demonstrated that neuroprotective efficacy of MSC-exosomes is as efficient as MSC-condition medium or neuron-MSC co-culture system and treating degenerating hippocampal neurons with all three MSC based approaches could up-regulate host’s endogenous growth factor expressions and prevent apoptosis by activating cell survival PI3K-B-cell lymphoma-2 (Bcl-2) pathway. Conclusion: Thus, the current study highlights the possibilities of treating neurodegenerative diseases with “Nano” size exosomes as opposed to transplanting billions of stem cells which inherit several disadvantages.","2018-11-12","2025-05-08 06:13:08","2025-05-08 06:13:08","2025-05-08 06:13:08","307-323","","5","18","","CGT","Neuroprotection by Human Dental Pulp Mesenchymal Stem Cells","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\G93F6FTG\Venugopal et al. - 2018 - Current Gene Therapy - Neuroprotection by Human Dental Pulp Mesenchymal Stem Cells From Billions to Nano.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIQELV3G","journalArticle","2017","Madhavadas, S; Subramanian, S; Kutty, Bm","Environmental enrichment improved cognitive deficits more in peri-adolescent than in adult rats after postnatal monosodium glutamate treatment","Physiology International","","2498-602X","10.1556/2060.104.2017.4.7","https://akjournals.com/doi/10.1556/2060.104.2017.4.7","Exposure to enriched environment (EE) is known to promote sensory, cognitive, and motor stimulation with intensiﬁed levels of novelty and complexity. In this study, we investigated the positive regulatory effect of short-term exposure to EE on establishing functional recovery in monosodium glutamate (MSG)-induced obese rats. Unless treated, MSG rats exhibited peripheral insulin resistance, cognitive deﬁcits, and a reduction in the total hippocampal volume with decreased neuron count in the DG, CA3, and CA1 subﬁelds. These MSG rats were exposed to shortterm EE for 15 days for a period of 6 h/day, beginning either at 45 or at 75 days of age. EE exposure has improved insulin sensitivity, yielded a signiﬁcant increase in total hippocampal volume along with increase in neuron number in the CA1 subﬁeld of the hippocampus in both age groups. However, as assessed by radial arm maze task, which relies upon the positive reinforcement to test spatial memory, and the Barnes maze task, which utilizes an aversive learning strategy, a complete recovery of cognitive function could be achieved in 2-month-old rats only and not among 3-month-old rats, thus highlighting the importance of critical window period for EE interventions in restoring the memory functions. These results suggest the therapeutic potential of EE paradigm in prevention of cognitive disorders.","2017-12-22","2025-05-08 06:13:10","2025-05-08 06:13:10","2025-05-08 06:13:10","271-290","","4","104","","Acta Physiol Hung","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\S5DSLUHR\Madhavadas et al. - 2017 - Physiology International - Environmental enrichment improved cognitive deficits more in peri-adolescent than in adult rats afte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87RWDU6","journalArticle","2017","Anshu, Kumari; Nair, Ajay Kumar; Kumaresan, U.D.; Kutty, Bindu M.; Srinath, Shoba; Laxmi, T. Rao","Altered attentional processing in male and female rats in a prenatal valproic acid exposure model of autism spectrum disorder","Autism Research","","1939-3792, 1939-3806","10.1002/aur.1852","https://onlinelibrary.wiley.com/doi/10.1002/aur.1852","Attention is foundational to efficient perception and optimal goal driven behavior. Intact attentional processing is crucial for the development of social and communication skills. Deficits in attention are therefore likely contributors to the core pathophysiology of autism spectrum disorder (ASD). Clinical evidence in ASD is suggestive of impairments in attention and its control, but the underlying mechanisms remain elusive. We examined sustained, spatially divided attention in a prenatal valproic acid (VPA) model of ASD using the 5‐choice serial reaction time task (5‐CSRTT). As compared to controls, male and female VPA rats had progressively lower accuracy and higher omissions with increasing attentional demands during 5‐CSRTT training, and showed further performance decrements when subjected to parametric task manipulations. It is noteworthy that although VPA exposure induced attentional deficits in both sexes, there were task parameter specific sex differences. Importantly, we did not find evidence of impulsivity or motivational deficits in VPA rats but we did find reduced social preference, as well as sensorimotor deficits that suggest pre‐attentional information processing impairments. Importantly, with fixed rules, graded difficulty levels, and more time, VPA rats could be successfully trained on the attentional task. To the best of our knowledge, this is the first study examining attentional functions in a VPA model. Our work underscores the need for studying both sexes in ASD animal models and validates the use of the VPA model in the quest for mechanistic understanding of aberrant attentional functions and for evaluating suitable therapeutic targets.                                    Autism Res                                  2017, 10: 1929–1944                 . © 2017 International Society for Autism Research, Wiley Periodicals, Inc.                                                        Lay Summary               We studied rats prenatally exposed to valproic acid (VPA), an established rodent model of autism. Both male and female VPA rats had a range of attentional impairments with sex‐specific characteristics. Importantly, with fixed rules, graded difficulty levels, and more time, VPA rats could be successfully trained on the attentional task. Our work validates the use of the VPA model in the quest for evaluating suitable therapeutic targets for improving attentional performance.","2017-12","2025-05-08 06:13:12","2025-05-08 06:13:13","2025-05-08 06:13:12","1929-1944","","12","10","","Autism Research","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\5VAQJWE3\Anshu et al. - 2017 - Autism Research - Altered attentional processing in male and female rats in a prenatal valproic acid exposure model of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMCGEYKQ","journalArticle","2017","Sasidharan, Arun; Kumar, Sunil; John, John P.; Philip, Mariamma; Subramanian, Sarada; Jain, Sanjeev; Kutty, Bindu M.","Elevated serum adenosine deaminase levels in neuroleptic-naïve patients with recent-onset schizophrenia","Asian Journal of Psychiatry","","18762018","10.1016/j.ajp.2017.03.034","https://linkinghub.elsevier.com/retrieve/pii/S1876201816303677","The present study examined serum levels of adenosine deaminase (ADA), an adenosine metabolizing enzyme, in neuroleptic-naive patients with recent-onset schizophrenia and age-matched healthy comparison subjects. ADA levels were found to be higher among patients, and revealed a possible link between evening rise and severity of auditory hallucinations as well as morning rise and severity of avolition-apathy in patients with schizophrenia. These ﬁndings suggest the potential utility of serum ADA as a peripheral biomarker of schizophrenia.","2017-10","2025-05-08 06:13:14","2025-05-08 06:13:14","2025-05-08 06:13:14","13-15","","","29","","Asian Journal of Psychiatry","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Admin\Zotero\storage\HN9HYE9R\Sasidharan et al. - 2017 - Asian Journal of Psychiatry - Elevated serum adenosine deaminase levels in neuroleptic-naïve patients with recent-onset schizophre.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
